OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
TIMM9,,,,,,,,XRN1
TIPIN,,,,,,,,XRN2
TMED10,,,,,,,,YAE1
TOP1,,,,,,,,YARS1
TPT1,,,,,,,,YARS2
TRAPPC2,,,,,,,,YBX1
TRIM49D1,,,,,,,,YEATS2
TTK,,,,,,,,YEATS4
TUBG2,,,,,,,,YJU2
TXNL4B,,,,,,,,YJU2B
UBAP1,,,,,,,,YKT6
UBB,,,,,,,,YPEL5
UBE2L3,,,,,,,,YRDC
UFD1L,,,,,,,,YTHDC1
UMPS,,,,,,,,YY1
UQCRFS1,,,,,,,,ZBTB11
UROD,,,,,,,,ZBTB17
USP39,,,,,,,,ZBTB8OS
UTP11L,,,,,,,,ZC3H13
UTP6,,,,,,,,ZC3H18
VDAC1,,,,,,,,ZC3H8
VPS16,,,,,,,,ZCCHC9
WBSCR22,,,,,,,,ZCRB1
WDR36,,,,,,,,ZFC3H1
WDR61,,,,,,,,ZMAT2
XRCC2,,,,,,,,ZMAT5
YAE1D1,,,,,,,,ZNF131
ZBTB8OS,,,,,,,,ZNF207
ZCCHC9,,,,,,,,ZNF335
ZNF335,,,,,,,,ZNF407
ZNF407,,,,,,,,ZNF492
ZWINT,,,,,,,,ZNF574
,,,,,,,,ZNF830
,,,,,,,,ZNHIT2
,,,,,,,,ZNHIT6
,,,,,,,,ZPR1
,,,,,,,,ZRSR2
,,,,,,,,ZWINT
