OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
EIF2B2,FCF1,GNL2,DDX27,DNAJC9,DR1,EIF2B4,DHX33,CSNK1A1
EIF2B3,FEN1,GNL3L,DDX39B,DNMT1,DROSHA,EIF2B5,DHX36,CSNK2B
EIF2B4,FERMT2,GPKOW,DDX41,DNTTIP2,DSN1,EIF2S1,DHX37,CSTF1
EIF2S1,FGFR1OP,GPN1,DDX42,DONSON,DTL,EIF2S2,DHX38,CSTF3
EIF2S3,FNTB,GPN2,DDX46,DPAGT1,DTYMK,EIF2S3,DHX8,CTCF
EIF3A,FOXD4,GPN3,DDX47,DPH3,DUT,EIF3A,DHX9,CTDP1
EIF3B,FXN,GPS1,DDX49,DR1,DYNC1H1,EIF3B,DIMT1,CTNNBL1
EIF3CL,GAPDH,GRB2,DDX5,DSN1,DYNC1I2,EIF3D,DIS3,CTPS1
EIF3D,GEMIN5,GRPEL1,DDX51,DTL,DYNLRB1,EIF3E,DKC1,CTR9
EIF3E,GEMIN6,GRWD1,DDX52,DTYMK,EAPP,EIF3F,DMAP1,CTU2
EIF3F,GGPS1,GSPT1,DDX54,DUT,EBNA1BP2,EIF3G,DNAJA3,CUL1
EIF3G,GGTLC2,GTF2A2,DDX55,DYNC1H1,ECD,EIF3H,DNAJC17,CUL2
EIF3H,GINS1,GTF2B,DDX56,DYNC1I2,ECT2,EIF3I,DNAJC8,CUL3
EIF3I,GINS2,GTF2E1,DDX59,DYNLRB1,EEF1B2,EIF3M,DNAJC9,CWC22
EIF3M,GINS3,GTF2H4,DDX6,EAPP,EEF1G,EIF4A1,DNM2,CWF19L2
EIF4A1,GINS4,GTF3A,DENR,EBNA1BP2,EEF2,EIF4A3,DNMT1,CYCS
EIF4A3,GMPPB,GTPBP4,DGCR8,ECD,EEF2KMT,EIF4E,DNTTIP2,DAD1
EIF4E,GMPS,GUK1,DHDDS,EEF1G,EFL1,EIF4G1,DONSON,DAP3
