gene;Fiper_consensus_PANCancer;ADAM_PANCancer;Fiper_consensus_lung;ADAM_lung;Fiper_consensus_LungNeuro;ADAM_LungNeuro;Fiper_consensus_NSCLC;ADAM_NSCLC;Fiper_consensus_bone;ADAM_bone;Fiper_consensus_Osteosarcoma;ADAM_Osteosarcoma;Fiper_consensus_Ewing;ADAM_Ewing
ADAM18;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM19;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM20;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM21;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM22;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM23;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM28;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM29;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM30;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM32;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM33;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM7;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM9;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAMDEC1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAMTS1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAMTS10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAMTS12;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAMTS13;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
